,x,y,hydroperiod
L1,"-42,7894068803716","-22,4375276869824",permanent
L2,"-42,7894877206857","-22,4379426063468",permanent
L3,"-42,7896877395869","-22,4381920257907",permanent
L4,"-42,7766178681257","-22,5309995716596",permanent
L5,"-42,7508437108956","-22,4377337590797",permanent
L6,"-42,761696221735","-22,4320764382181",permanent
L7,"-42,7856361738246","-22,533518315089",permanent
P1,"-42,789739595669","-22,4392101558922",temporary
P2,"-42,776517580681","-22,4606896315534",temporary
P3,"-42,7903818595875","-22,4826226399741",temporary
P4,"-42,7922681116174","-22,4770254323771",temporary
P5,"-42,7916977180546","-22,4780718745265",temporary
P6,"-42,7908613145608","-22,4830225275595",temporary
P7,"-42,7906818782156","-22,4826969107665",temporary
P8,"-42,7733549926812","-22,4567719299026",temporary
P9,"-42,7928100429612","-22,4771607992062",temporary
P10,"-42,792026293729","-22,4708313867437",temporary
P11,"-42,7970293668196","-22,4720772501886",temporary
P12,"-42,7816471792839","-22,4637173462567",temporary
P13,"-42,7827518399081","-22,463894162582",temporary
P14,"-42,7740633216505","-22,4574304549879",temporary
P15,"-42,7910192007151","-22,4700114579887",temporary
P16,"-42,7754175287767","-22,4596180441306",temporary
P17,"-42,7828476182994","-22,4633697976243",temporary
P18,"-42,7810972167278","-22,4653099385232",temporary
P19,"-42,7654928908114","-22,4527403896017",temporary
P20,"-42,7642320833443","-22,4574600683207",temporary
